央视频道,#genre#
CCTV14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8

CCTV15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?
CCTV15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV15音乐,http://183.207.255.190/live/program/live/cctvyy/1300000/mnf.m3u8
CCTV15音乐,http://ivi.bupt.edu.cn/hls/cctv15.m3u8

CCTV17农村农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV17农村农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV17农村农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV17农村农业,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CCTV17农村农业,http://ivi.bupt.edu.cn/hls/cctv17.m3u8

CGTN,http://111.12.102.68:6610/PLTV/77777777/224/3221225707/index.m3u8?
CGTN,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN,http://ivi.bupt.edu.cn/hls/cctv16.m3u8

CGTN记录,http://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN记录,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8

CETV1,http://111.12.102.68:6610/PLTV/77777777/224/3221225776/index.m3u8?
CETV1,http://ivi.bupt.edu.cn/hls/cetv1.m3u8

CETV3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8

CETV4,http://111.12.102.68:6610/PLTV/77777777/224/3221225723/index.m3u8?
CETV4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8

CHC高清电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8

CHC家庭影院,http://39.134.18.65/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/01.m3u8

CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/01.m3u8

纯享4K,http://111.12.102.68:6610/PLTV/77777777/224/3221225726/index.m3u8?
纯享4K,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8

广东频道,#genre#
广东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
广东卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225685/index.m3u8?
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8

深圳卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
深圳卫视,http://111.12.102.68:6610/PLTV/77777777/224/3221225725/index.m3u8?
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
